participant_id,game_title,hours_played,wellbeing_score,life_satisfaction,affect_balance,autonomy,competence,relatedness,intrinsic_motivation,extrinsic_motivation
W0001,World of Warcraft,29.502458019533243,4.946849547345298,2.5891515493520787,5.0,3.3927889207702764,4.957397433435145,5.0,4.055372949389319,2.042698754693218
W0002,Fortnite,18.268577674035424,5.0,4.647442500117055,3.991021788787797,4.964908327582476,5.0,4.1242386709587455,2.8652341200015163,1.760955554744893
W0003,Animal Crossing,5.658254876358891,5.0,2.941695313448494,3.1465853531364467,4.079130736937787,3.4568376817410114,3.1746983402835474,4.494256737296301,1.3537914342649915
W0004,Terraria,8.456012795588682,4.743575251856536,4.647959966011339,5.0,2.356260297050037,4.206803207444356,1.814063566551078,2.516544106588073,3.903540466786877
W0005,Valheim,7.41610260393391,5.0,3.6989293718436502,3.7975768629492332,2.799566419628305,4.962714768936099,4.025316941505056,5.0,1.0
W0006,Apex Legends,6.53221897483037,3.9573225088231014,2.9758539534800725,3.9546828941831653,3.762145932749208,4.395942707292446,1.0,3.8454107891806317,4.950239018256771
W0007,Animal Crossing,6.943416901234659,4.423837822414723,2.5214180461377893,3.9776116304869675,5.0,1.765492677077642,3.9258444399972245,3.660380845872445,3.081269259217929
W0008,Counter-Strike,6.778635096185989,5.0,2.4745124698720655,4.192649660359209,3.2074654016110213,5.0,5.0,5.0,2.6318033023867216
W0009,World of Warcraft,6.513757160753429,4.245455441668196,2.9899826967334353,3.3272375600061164,3.565899398692035,4.627457577656482,3.6903817733686752,3.1964533787880542,2.903137799709561
W0010,Fall Guys,23.49281703226649,5.0,3.2732847861517627,3.9089899467745886,4.3111242267825975,4.712738488248168,5.0,2.6032867881615713,3.8019736514299662
W0011,Minecraft,3.860616169033058,2.6787780697057864,2.4185543835489636,4.747402117780447,2.431235043938992,2.5694191268159674,1.8791513988671449,3.2984691516242757,2.589209256124202
W0012,World of Warcraft,5.173106135039244,3.0005135308901267,3.3579978407574917,3.2892588766417687,4.398553281057647,4.1828679216426075,5.0,5.0,2.9506967745407513
W0013,Valheim,2.3987168560397736,4.174483517353961,2.07765011953159,3.238006625160635,2.556259913900898,5.0,5.0,3.195943659282524,4.56900375766975
W0014,Valheim,35.65660924556755,3.979918004076069,4.482671581575258,3.378707076984483,4.6671842094617855,2.9433032741161576,4.266352207049513,4.702075706313796,3.6509773312241616
W0015,Apex Legends,4.870260065497289,3.0560789751141244,4.7315711192979535,2.492449900217399,3.2912219177626048,3.25534654018674,2.7622477631536304,5.0,1.5750495827853521
W0016,Counter-Strike,18.078035779537682,5.0,2.5843772527289093,2.9488765919632756,3.1579508597851844,5.0,2.5296690551076306,3.2662750719051297,2.2799271652515487
W0017,Fortnite,15.29899246380371,4.007112924697839,2.5117750283502134,2.9040620839958953,4.3727966245317935,3.1994768502752056,3.5007296002464696,3.2677000516201313,1.0
W0018,Apex Legends,32.686258459383566,3.2687299373784056,3.731291849112834,3.6994252239651693,4.893990509501066,3.7497893469453523,5.0,4.498174498448956,3.9998205403615423
W0019,Apex Legends,8.25636956931421,3.9819425928327563,5.0,4.619760221276344,4.476259856057187,2.758457609071306,1.7582708367796533,4.547854439140998,4.138599794315074
W0020,Minecraft,4.251254821359859,3.8305120431339614,5.0,5.0,4.307643499850355,5.0,3.614574713918377,5.0,1.9853248501612433
W0021,League of Legends,2.4591727716752225,4.025363057469306,1.6764344597928524,3.7629074789110515,4.32180220941723,4.624747318202271,4.6279083803292975,3.4538454331430937,5.0
