user_id,game_title,hours_played,wellbeing_score,stress_level,social_connection_score,achievement_satisfaction,gaming_session_length,age
U00001,Apex Legends,71.17569157561434,3.582952145858831,4.1576378284241216,5.264013555232394,5.815684951442201,3.379901697579663,32
U00002,Counter-Strike,23.259386351457216,9.575031069104124,6.074344160592139,6.982399601893173,7.087212528551574,12.0,22
U00003,League of Legends,210.94133091743024,6.074199968653691,1.559862845206506,8.874214030744923,7.622758475049492,5.237048977225558,13
U00004,Apex Legends,159.85508007533107,5.154196511887744,3.4121888463306216,7.572925602653589,5.862509065000533,3.5507718045213656,23
U00005,Valorant,2.245988368525736,8.122713657642088,4.83863901961534,4.010426158950356,7.982999733670526,3.786127270997949,30
U00006,Minecraft,92.399187289286,4.675754446303532,2.776541045194885,5.192691666805801,5.8071009171856405,11.56410585427493,21
U00007,Fortnite,25.31676673035544,4.917630130044589,4.366132930257468,3.969020619279413,4.091510854330831,3.406850248478509,29
U00008,Dota 2,43.005275006034736,6.501476662007009,3.904675629152608,4.103403036859921,8.967062615783895,3.195753631721225,13
U00009,League of Legends,244.57103943198345,3.5023818882867017,5.604210032806798,8.613553206164067,3.7891741479334575,3.2275341510715774,28
U00010,Minecraft,103.404251779024,8.463459142040936,2.677261256997337,6.930376232445541,7.673606852901369,12.0,19
U00011,Overwatch,12.95431031822139,7.181079228534749,5.78508740498888,2.786748899589017,7.0047767940501,8.447596811698,18
U00012,Fortnite,5.162379722454715,9.527994338664396,4.773091742609311,5.837670605728967,6.533007139865455,4.827967885177616,16
U00013,Rocket League,4.112048866851153,5.432188973115634,2.4293344803772543,6.798589153221153,7.965152841094971,8.67509386889852,32
U00014,Fortnite,30.63539009944317,3.224371118342833,4.034147849014189,4.175068812929757,6.390975975831638,6.9359447031265535,25
U00015,League of Legends,59.73291558110818,3.716692036256525,2.8888920047902724,4.226830661038382,4.940589355035572,1.761260371941067,21
U00016,PUBG,323.35181500948624,7.292741006834078,1.1778027840894891,7.199104484482508,9.04317116925862,6.214507098399574,19
U00017,Fortnite,698.9262758414894,10.0,5.876446543515651,5.576712326295191,3.426258573773723,11.196258835319933,25
U00018,Dota 2,9.797066004964927,4.508358838204343,6.334765469015537,5.511253900412726,6.487593887133438,9.402519615858576,26
U00019,Overwatch,183.5260974897697,7.790869558587823,4.175502490828674,2.820953774997232,5.496369815144568,4.695417217612473,26
U00020,Valorant,151.2923290889298,4.360111920645641,5.344583927202247,5.318212398260754,7.006128317698256,1.737158632986207,21
U00021,Fortnite,20.96699417760616,5.543657618237585,5.121130499981934,5.351188705537511,7.609998269134541,4.433682515367295,30
U00022,Valorant,233.2127786258377,5.25225758380089,5.961023330038167,5.404466790322664,6.646488626612509,6.706771580494149,19
U00023,Overwatch,27.407945543488616,8.916059524630393,7.165774995011004,3.5819222121300283,6.133353688704065,1.9738111272922152,22
U00024,Valorant,189.13152375617491,8.539336490630493,3.848212060885838,1.8850113606779375,2.5107377226839507,9.799340445637622,30
U00025,Minecraft,18.43004915604953,4.346037841724131,1.6311462989086736,4.608930248790429,5.555801433546421,12.0,23
U00026,Dota 2,69.74806615189594,5.458848423624538,5.272332786343976,7.433920498249702,5.714361215098146,2.777700183319793,13
U00027,Overwatch,12.642780703434948,5.723744434865075,7.100964375992643,6.600787840027851,7.410371892323669,8.404716260682696,23
U00028,Fortnite,77.58461511172983,6.130281742495885,1.0,6.38880689223683,5.549780468723472,1.4898482286265533,20
U00029,Fortnite,90.22170370248224,6.639012707148607,2.420645132761096,2.099951754236256,4.981426248156446,3.351445235683967,38
U00030,Dota 2,31.226406653931356,10.0,5.574567106758464,5.278652707761577,5.288188297020213,4.643516908507864,20
U00031,Overwatch,27.279645417214507,5.802857950334453,4.36278271158239,5.6221070145616805,2.292704409997449,2.2759003651718714,20
U00032,Counter-Strike,14.072750512574082,7.213473292327212,7.619792132812402,7.366963761972597,2.9488938000979625,1.5387265936935486,25
U00033,Valorant,5000.0,6.4957467172114205,3.8671698189401247,6.253050677277167,7.59766846937886,7.677995559177586,23
U00034,Minecraft,25.286040731284103,6.885785973495088,7.330007225091817,6.487787065536116,7.506639138263971,3.284749516244357,29
U00035,Fortnite,15.682713687868247,5.026545110682219,5.216493013719596,5.984604932703279,4.401311406223131,12.0,20
U00036,Counter-Strike,106.65874883887368,5.29321099588251,2.804932016277607,6.418580750532538,4.768088759071839,3.399286667369755,21
